[2026-01-26 20:01:47] 변환 완료: data/samsung_data/swi\VK506.nii → data/output_images/swi
[2026-01-26 20:01:48] 변환 완료: data/samsung_data/swi\VK522.nii → data/output_images/swi
[2026-01-26 20:01:48] 변환 완료: data/samsung_data/swi\VK523.nii → data/output_images/swi
[2026-01-26 20:01:49] 변환 완료: data/samsung_data/swi\VK527.nii → data/output_images/swi
[2026-01-26 20:01:49] 변환 완료: data/samsung_data/swi\VK530.nii → data/output_images/swi
[2026-01-26 20:01:50] 변환 완료: data/samsung_data/swi\VK533.nii → data/output_images/swi
[2026-01-26 20:01:50] 변환 완료: data/samsung_data/swi\VK534.nii → data/output_images/swi
[2026-01-26 20:01:51] 변환 완료: data/samsung_data/swi\VK535.nii → data/output_images/swi
[2026-01-26 20:01:51] 변환 완료: data/samsung_data/swi\VK536.nii → data/output_images/swi
[2026-01-26 20:01:51] 변환 완료: data/samsung_data/swi\VK537.nii → data/output_images/swi
[2026-01-26 20:01:52] 변환 완료: data/samsung_data/swi\VK538.nii → data/output_images/swi
[2026-01-26 20:01:52] 변환 완료: data/samsung_data/swi\VK540.nii → data/output_images/swi
[2026-01-26 20:01:53] 변환 완료: data/samsung_data/swi\VK543.nii → data/output_images/swi
[2026-01-26 20:01:53] 변환 완료: data/samsung_data/swi\VK546.nii → data/output_images/swi
[2026-01-26 20:01:54] 변환 완료: data/samsung_data/swi\VK552.nii → data/output_images/swi
[2026-01-26 20:01:54] 변환 완료: data/samsung_data/swi\VK558.nii → data/output_images/swi
[2026-01-26 20:01:55] 변환 완료: data/samsung_data/swi\VK561.nii → data/output_images/swi
[2026-01-26 20:01:55] 변환 완료: data/samsung_data/swi\VK563.nii → data/output_images/swi
[2026-01-26 20:01:55] 변환 완료: data/samsung_data/swi\VK564.nii → data/output_images/swi
[2026-01-26 20:01:56] 변환 완료: data/samsung_data/swi\VK568.nii → data/output_images/swi
[2026-01-26 20:01:56] 변환 완료: data/samsung_data/swi\VK570.nii → data/output_images/swi
[2026-01-26 20:01:57] 변환 완료: data/samsung_data/swi\VK571.nii → data/output_images/swi
[2026-01-26 20:01:57] 변환 완료: data/samsung_data/swi\VK572.nii → data/output_images/swi
[2026-01-26 20:01:58] 변환 완료: data/samsung_data/swi\VK573.nii → data/output_images/swi
[2026-01-26 20:01:58] 변환 완료: data/samsung_data/swi\VK576.nii → data/output_images/swi
[2026-01-26 20:01:59] 변환 완료: data/samsung_data/swi\VK582.nii → data/output_images/swi
[2026-01-26 20:01:59] 변환 완료: data/samsung_data/swi\VK584.nii → data/output_images/swi
[2026-01-26 20:01:59] 변환 완료: data/samsung_data/swi\VK585.nii → data/output_images/swi
[2026-01-26 20:02:00] 변환 완료: data/samsung_data/swi\VK586.nii → data/output_images/swi
[2026-01-26 20:02:00] 변환 완료: data/samsung_data/swi\VK589.nii → data/output_images/swi
